################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.1904489468132562E-01 a         1     0     1     1     1
  1.4751603240672403E-01 a         2     0     1     1     2
 -1.9655136381427948E-01 a         3     0     1     1     3
  2.4204007317446610E-01 a         4     0     1     1     4
  3.4518566599760436E-02 a         5     0     1     1     5
  4.5660028923739721E-01 a         6     0     1     1     6
 -1.3705039135133695E-01 a         7     0     1     1     7
 -2.7617676173845340E-01 a         8     0     1     1     8
  1.6687016076159003E-01 a         9     0     1     1     9
  2.5916710181024333E-01 a        10     0     1     1    10
 -2.0948472386516276E-01 a        11     0     1     1    11
  1.3309175954755609E-01 a        12     0     1     1    12
  3.7880778230947615E-01 a        13     0     1     1    13
  3.4169125213587642E-01 a        14     0     1     1    14
  2.5948578751615031E-01 a        15     0     1     1    15
  2.4041964373161243E-01 a        16     0     1     1    16
  3.7501034192582237E-02 a        17     0     1     1    17
 -3.8898447784213974E-01 a        18     0     1     1    18
 -1.1342630127393663E-01 a        19     0     1     1    19
 -3.3168517955958132E-01 a        20     0     1     1    20
  6.1758971087724164E-02 a        21     0     1     1    21
  3.4234354686043390E-02 a        22     0     1     1    22
  6.8128446803504217E-02 a        23     0     1     1    23
  1.3455259540354253E-01 a        24     0     1     1    24
 -2.1594762722520813E-01 a        25     0     1     1    25
 -2.4342043428020887E-01 a        26     0     2     1     1
 -2.9035100579593875E-01 a        27     0     2     1     2
 -1.5107634797404784E-01 a        28     0     2     1     3
 -5.0228497908134562E-01 a        29     0     2     1     4
  5.1053640803143181E-02 a        30     0     2     1     5
 -3.2056566893228594E-01 a        31     0     2     1     6
  3.6677043395928033E-02 a        32     0     2     1     7
  2.0541990272148236E-01 a        33     0     2     1     8
 -3.2864241585747733E-01 a        34     0     2     1     9
 -4.6923479762494630E-01 a        35     0     2     1    10
  2.4564711222955438E-01 a        36     0     2     1    11
 -1.4641970046611238E-01 a        37     0     2     1    12
 -4.2815281697458418E-01 a        38     0     2     1    13
 -5.1956023380943139E-01 a        39     0     2     1    14
 -1.5113588706752673E-01 a        40     0     2     1    15
 -2.2776461674876261E-01 a        41     0     2     1    16
  2.1575991446661459E-03 a        42     0     2     1    17
  5.9525519616814038E-01 a        43     0     2     1    18
 -1.9505994735319315E-01 a        44     0     2     1    19
  4.5690360233037415E-02 a        45     0     2     1    20
 -1.8447850256157791E-01 a        46     0     2     1    21
  1.2846743142233730E-01 a        47     0     2     1    22
 -1.1714123044339693E-01 a        48     0     2     1    23
 -1.0865227795185908E-01 a        49     0     2     1    24
 -8.1374369624226950E-03 a        50     0     2     1    25
 -5.0171405453623752E-01 a        51     0     3     1     1
 -1.7927345725447288E-01 a        52     0     3     1     2
  1.6231385450078423E-01 a        53     0     3     1     3
 -9.5742075311413946E-02 a        54     0     3     1     4
 -2.8653634678572831E-01 a        55     0     3     1     5
 -8.1659737956296358E-02 a        56     0     3     1     6
  2.1916079195907184E-01 a        57     0     3     1     7
  3.4377156779835649E-01 a        58     0     3     1     8
 -7.0547280890033343E-02 a        59     0     3     1     9
 -1.3412468672711023E-01 a        60     0     3     1    10
 -3.8384721508498726E-02 a        61     0     3     1    11
  3.7759213731423952E-03 a        62     0     3     1    12
 -2.8271853144911158E-01 a        63     0     3     1    13
 -6.0593787462152500E-02 a        64     0     3     1    14
  1.2215741519198996E-01 a        65     0     3     1    15
  1.1013533156584704E-01 a        66     0     3     1    16
  1.1579155889790672E-01 a        67     0     3     1    17
  2.8997715628474763E-01 a        68     0     3     1    18
  3.0834112476686648E-01 a        69     0     3     1    19
  3.7380827210214929E-01 a        70     0     3     1    20
 -2.8904415409465012E-01 a        71     0     3     1    21
  3.0904328900432283E-02 a        72     0     3     1    22
 -4.8585790164414516E-01 a        73     0     3     1    23
  3.7177892877424713E-02 a        74     0     3     1    24
  4.5600999826940047E-01 a        75     0     3     1    25
  1.0617436844608498E-01 a        76     0     4     1     1
  3.1179834538076473E-01 a        77     0     4     1     2
  3.0484348120077043E-01 a        78     0     4     1     3
  5.4488171479647229E-01 a        79     0     4     1     4
  2.6391482693854618E-01 a        80     0     4     1     5
  7.4904454807040902E-02 a        81     0     4     1     6
 -1.9952024307282190E-01 a        82     0     4     1     7
 -2.6727598733164298E-01 a        83     0     4     1     8
  1.7989684515474699E-01 a        84     0     4     1     9
  7.5161209176591776E-02 a        85     0     4     1    10
 -1.6017125944955821E-01 a        86     0     4     1    11
 -3.3922460368143370E-03 a        87     0     4     1    12
  5.1013349151824272E-01 a        88     0     4     1    13
  3.3764995148022448E-01 a        89     0     4     1    14
 -2.8389906990611141E-01 a        90     0     4     1    15
  1.2662036470839561E-01 a        91     0     4     1    16
  1.2867424227518650E-02 a        92     0     4     1    17
 -7.3732534197045063E-01 a        93     0     4     1    18
  1.1439766031152225E-01 a        94     0     4     1    19
 -1.8143858171263774E-01 a        95     0     4     1    20
  4.9479572243228931E-01 a        96     0     4     1    21
 -3.4010057334556476E-01 a        97     0     4     1    22
  4.7708028266313446E-01 a        98     0     4     1    23
 -2.2188824244174940E-01 a        99     0     4     1    24
 -3.5176590411015207E-01 a       100     0     4     1    25
 -1.8422601801235389E-01 a       101     0     5     1     1
  2.9223536035632558E-01 a       102     0     5     1     2
 -1.1560454049751853E-01 a       103     0     5     1     3
 -1.2947986019149457E-01 a       104     0     5     1     4
  4.1273066623271050E-02 a       105     0     5     1     5
 -3.8549524955503034E-01 a       106     0     5     1     6
 -2.5277723313571276E-01 a       107     0     5     1     7
  8.6961198268922388E-02 a       108     0     5     1     8
  1.6723155225749728E-01 a       109     0     5     1     9
 -2.9019318727961169E-02 a       110     0     5     1    10
 -3.9037217282032376E-02 a       111     0     5     1    11
  1.1608286267370859E-02 a       112     0     5     1    12
 -1.3250509434776514E-01 a       113     0     5     1    13
  6.6505060179641792E-02 a       114     0     5     1    14
 -6.5948046916865385E-02 a       115     0     5     1    15
 -1.5151517559252581E-01 a       116     0     5     1    16
 -1.7502977489167383E-02 a       117     0     5     1    17
  2.2639709995679544E-01 a       118     0     5     1    18
 -1.5904025464187899E-01 a       119     0     5     1    19
  1.6026701376046212E-01 a       120     0     5     1    20
 -2.4074378771458152E-01 a       121     0     5     1    21
 -8.9727093450352513E-02 a       122     0     5     1    22
  1.2246666681207619E-01 a       123     0     5     1    23
 -2.6734822267949704E-01 a       124     0     5     1    24
 -2.4224192448826603E-02 a       125     0     5     1    25
 -4.7404248942686973E-02 a       126     0     6     1     1
 -1.2847369267865713E-02 a       127     0     6     1     2
 -1.7669314337013631E-02 a       128     0     6     1     3
 -5.5938197525186355E-02 a       129     0     6     1     4
  4.8357872670422318E-02 a       130     0     6     1     5
  9.0812686259210296E-02 a       131     0     6     1     6
  2.7057998188492016E-01 a       132     0     6     1     7
  9.3969331283125110E-02 a       133     0     6     1     8
  5.2085110061983936E-02 a       134     0     6     1     9
 -1.2999028952593525E-01 a       135     0     6     1    10
  4.7420222719480577E-02 a       136     0     6     1    11
  1.3928952139912776E-01 a       137     0     6     1    12
 -9.6287740947615469E-02 a       138     0     6     1    13
  1.9408145257398038E-01 a       139     0     6     1    14
  5.9653456654667925E-02 a       140     0     6     1    15
  1.8326174985398779E-03 a       141     0     6     1    16
 -3.7894436395107062E-01 a       142     0     6     1    17
 -1.4466357244141621E-02 a       143     0     6     1    18
 -3.3794450860835233E-02 a       144     0     6     1    19
 -2.4199148425901897E-02 a       145     0     6     1    20
 -1.8294446539867983E-02 a       146     0     6     1    21
  7.8356018547436748E-02 a       147     0     6     1    22
 -3.2936167256528998E-01 a       148     0     6     1    23
  9.6570055369691127E-02 a       149     0     6     1    24
  6.0176087496851292E-02 a       150     0     6     1    25
  3.3363522443035426E-01 a       151     0     7     1     1
 -1.9009699323158134E-02 a       152     0     7     1     2
  2.1155916631101809E-01 a       153     0     7     1     3
  1.3142307551725163E-01 a       154     0     7     1     4
  1.0416890076392941E-01 a       155     0     7     1     5
  8.8976230252571925E-02 a       156     0     7     1     6
  7.8929626211363138E-02 a       157     0     7     1     7
  2.8382066497283802E-02 a       158     0     7     1     8
  3.1647590546881211E-04 a       159     0     7     1     9
 -1.3192408180606588E-01 a       160     0     7     1    10
 -3.2804336934603315E-02 a       161     0     7     1    11
 -1.0365757436743270E-01 a       162     0     7     1    12
  1.7713629564026201E-01 a       163     0     7     1    13
 -4.2613570854584631E-01 a       164     0     7     1    14
  1.3591367025910200E-01 a       165     0     7     1    15
  3.3540141162188075E-01 a       166     0     7     1    16
  8.9896629058073010E-02 a       167     0     7     1    17
 -5.9031471012097970E-02 a       168     0     7     1    18
 -2.6245214710559517E-01 a       169     0     7     1    19
 -5.1170511446622646E-01 a       170     0     7     1    20
  4.6365217777919859E-01 a       171     0     7     1    21
  3.4622614487659958E-01 a       172     0     7     1    22
  6.5478965849820658E-01 a       173     0     7     1    23
  3.0482746108466174E-01 a       174     0     7     1    24
  1.1995256841271283E-01 a       175     0     7     1    25
 -1.7161882456682456E-01 a       176     0     8     1     1
 -1.3719067626385698E-01 a       177     0     8     1     2
  2.6046567918257307E-01 a       178     0     8     1     3
  1.5315939725852085E-01 a       179     0     8     1     4
 -1.8667324692309004E-01 a       180     0     8     1     5
  1.9788227081357526E-01 a       181     0     8     1     6
  3.2414942851881068E-01 a       182     0     8     1     7
  1.3641914745017689E-01 a       183     0     8     1     8
  5.7519947407288330E-02 a       184     0     8     1     9
  1.3967390737436960E-01 a       185     0     8     1    10
  4.7078474723015618E-01 a       186     0     8     1    11
  2.0814277040174842E-02 a       187     0     8     1    12
  2.7123084507599489E-02 a       188     0     8     1    13
 -3.7439104226332581E-01 a       189     0     8     1    14
  2.8358677965005297E-01 a       190     0     8     1    15
 -2.3434936828395062E-01 a       191     0     8     1    16
  2.9115300978757191E-01 a       192     0     8     1    17
  4.7501598422582325E-01 a       193     0     8     1    18
 -7.7863134892518756E-03 a       194     0     8     1    19
 -2.3517820023765351E-01 a       195     0     8     1    20
  7.7958457718706964E-02 a       196     0     8     1    21
  1.1159951007272355E-01 a       197     0     8     1    22
 -9.0107293718887371E-02 a       198     0     8     1    23
 -1.2691660521702258E-01 a       199     0     8     1    24
  4.6675542478845622E-01 a       200     0     8     1    25
 -9.1555231066937900E-02 a       201     0     9     1     1
 -5.1154329300185555E-02 a       202     0     9     1     2
 -2.1052184776365729E-01 a       203     0     9     1     3
 -5.5161731231300346E-02 a       204     0     9     1     4
 -2.2321268915971126E-01 a       205     0     9     1     5
  5.3465877313526332E-02 a       206     0     9     1     6
  1.0163753606426192E-01 a       207     0     9     1     7
 -3.9621000689750629E-01 a       208     0     9     1     8
 -4.4688489549272355E-02 a       209     0     9     1     9
 -8.7551606739808260E-02 a       210     0     9     1    10
 -2.7043836623444695E-01 a       211     0     9     1    11
 -1.1475320441182361E-01 a       212     0     9     1    12
 -1.5895629575993434E-01 a       213     0     9     1    13
 -9.2687652542712898E-02 a       214     0     9     1    14
  1.5683959629770625E-02 a       215     0     9     1    15
 -2.1521443599301804E-01 a       216     0     9     1    16
  1.1478965028013736E-01 a       217     0     9     1    17
 -4.0079638544512741E-01 a       218     0     9     1    18
 -1.9609691342772981E-01 a       219     0     9     1    19
 -1.0790881657173652E-01 a       220     0     9     1    20
  1.1743786882313258E-01 a       221     0     9     1    21
  3.6893267876504397E-02 a       222     0     9     1    22
  1.3969086316277415E-01 a       223     0     9     1    23
  1.7557689895840858E-01 a       224     0     9     1    24
 -2.5278786781868834E-01 a       225     0     9     1    25
 -2.2869464643698578E-01 a       226     0    10     1     1
 -7.4821426666800223E-02 a       227     0    10     1     2
 -1.4336990679371633E-01 a       228     0    10     1     3
  7.2202254740895255E-02 a       229     0    10     1     4
 -2.7043470894177496E-01 a       230     0    10     1     5
 -1.9364609885669681E-02 a       231     0    10     1     6
  1.3430425660692105E-01 a       232     0    10     1     7
  2.6024406564807212E-01 a       233     0    10     1     8
 -1.9743339398150953E-01 a       234     0    10     1     9
