################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         18   9.1996142477655755E-03   3.9589871855703458E-02   2.0517315529533574E-02   3.3155797009708074E-03
         1         19   1.4191928131507118E-03   3.6993771436676787E-02   1.6581620262902948E-02   4.6227709524062632E-03
         1         20   7.5484016073923049E-02   2.2159906742072671E-01   1.3928139304425960E-01   1.6910119138702884E-02
         1         21   5.2984007884836889E-03   4.3393225214535390E-02   1.7559105231702218E-02   4.3190128027836812E-03
         1         22   3.7971636366232025E-04   1.4112542856046375E-02   5.9348337475784267E-03   1.9294055670411494E-03
         1         23   4.3201675874412759E-02   1.2927862759783706E-01   7.8821798393671844E-02   1.0436626967582350E-02
         1         24   8.8524093165083843E-04   9.5087006849087514E-03   3.8928423401545561E-03   1.0489263581433764E-03
         1         25   1.3204079299357937E-03   9.5189616336594975E-03   3.6891056792564933E-03   8.0398428802717307E-04
         1         26   1.4876763694489981E-02   3.8779314521092775E-02   2.4457891256096723E-02   2.5182110147511602E-03
         1         27   9.6846362313738482E-04   4.5994311603075539E-03   2.3462789481860807E-03   4.2120908229075334E-04
         2          1   1.9699860063630470E+00   3.4016796593105627E+00   2.6503143863957606E+00   1.7132623479995396E-01
         2          2   6.7321506333513448E-01   1.3074709948751824E+00   9.6212709340407432E-01   7.8785192671438631E-02
         2          3   1.4702946005454127E+00   2.6568445373459069E+00   2.0293280627763464E+00   1.3906452758505133E-01
         2          4   4.2634402694463164E-01   9.3948885254100389E-01   6.5509441568016991E-01   6.2365912357468481E-02
         2          5   8.9172993405118983E-01   1.7082864940779450E+00   1.2968296360300815E+00   9.2419012530468789E-02
         2          6   1.6904325476061191E-01   4.7863787256086954E-01   3.0259420145315097E-01   3.8056944581625549E-02
         2          7   5.9615248634345397E-01   1.1077964425649858E+00   8.4836689085804351E-01   5.5690080938026701E-02
         2          8   4.9561443351066110E-02   1.8939639965077959E-01   1.0838929099196876E-01   1.8887434869092407E-02
         2          9   5.6899698022452561E-01   8.9906537030947475E-01   7.2644767631108342E-01   4.0012252194194152E-02
         2         10   2.2609170249478874E-01   7.9103023615086332E-01   4.6749755896969403E-01   7.1987147720302541E-02
         2         11   4.5526608254587575E-01   6.1935191255641364E-01   5.4291984609611055E-01   2.0146457129346637E-02
         2         12   1.0184096322997847E-01   5.8176341402761922E-01   3.0813199624160670E-01   6.6334207434898221E-02
         2         13   2.8975900847228009E-01   4.6387363618389893E-01   3.8566826515320513E-01   1.9711978940392252E-02
         2         14   2.0673328344407611E-02   4.3040542611124966E-01   1.6711050920123921E-01   5.5543240659247727E-02
         2         15   8.2344080297887312E-02   2.6395276955034341E-01   1.6937730739364679E-01   2.0830387313020629E-02
         2         16   2.7827694860957852E-04   2.1455020847020650E-01   4.2921828659000946E-02   2.8109961715782068E-02
         2         17   3.5545442992378738E-03   3.0157344472799885E-02   1.4824829885293286E-02   3.1969879964870748E-03
