begin
lattice 24.5566627738 0.0000000000 0.0000000000
lattice 0.0000000000 24.5566627738 0.0000000000
lattice 0.0000000000 0.0000000000 24.5566627738
atom   10.9236142961    9.3277034116   24.4015225555 H    0.0000000000    0.0000000000   -0.0098538831   -0.0257742673   -0.0022293155
atom   11.4048706606   11.9352598852   23.2941542497 H    0.0000000000    0.0000000000   -0.0028147256    0.0289400096   -0.0336157846
atom    2.5771318949   24.0866616137   23.8029023391 H    0.0000000000    0.0000000000   -0.0165801010    0.0072550181   -0.0019151896
atom    4.8314231045   24.2409709196   22.0598631051 H    0.0000000000    0.0000000000    0.0092154607    0.0054497035   -0.0201709526
atom   18.0348236180   21.6446148484   16.1404495058 H    0.0000000000    0.0000000000    0.0038678145    0.0104042694   -0.0103597555
atom   18.0814809379   22.8918354941   13.3987981186 H    0.0000000000    0.0000000000   -0.0064849596   -0.0017983915   -0.0056994796
atom    4.6063757082    4.0356786409   13.5313623546 H    0.0000000000    0.0000000000   -0.0098984360    0.0008577447    0.0063975263
atom    5.4443933286    1.4412576485   14.6201465340 H    0.0000000000    0.0000000000   -0.0001716967    0.0044474878   -0.0028049439
atom    9.5563412863   17.8138391312   15.5628549410 H    0.0000000000    0.0000000000   -0.0127216599    0.0049340300    0.0246438770
atom   11.7110628652   16.3261150252   14.1923505007 H    0.0000000000    0.0000000000    0.0230489779   -0.0149769953    0.0078077575
atom    2.5695351988   11.5857929692   24.3356763972 H    0.0000000000    0.0000000000   -0.0077681636    0.0042386475    0.0100561893
atom    5.0471163603   11.2686592546    1.4580440791 H    0.0000000000    0.0000000000   -0.0002350742    0.0022101797    0.0110454728
atom    3.7599110152    3.0286439818    3.7817751378 H    0.0000000000    0.0000000000   -0.0052894999   -0.0046152563    0.0202071628
atom    5.0422219715    3.9720326899    6.3730232814 H    0.0000000000    0.0000000000   -0.0044754719   -0.0201960586   -0.0088325705
atom    0.6217215423    2.8056185916    0.9173104978 H    0.0000000000    0.0000000000    0.0030473495    0.0196696697    0.0084863573
atom    0.6435233041    5.4031217262    2.2922179982 H    0.0000000000    0.0000000000   -0.0152931242    0.0172640681    0.0123859674
